Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
XXII,"22nd Century Group, Inc",0.8202,$52.77M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/xxii
FAX,Aberdeen Asia-Pacific Income Fund Inc,5.48,$1.46B,1986,n/a,n/a,http://www.nasdaq.com/symbol/fax
IAF,Aberdeen Australia Equity Fund Inc,7.25,$166.3M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/iaf
CH,"Aberdeen Chile Fund, Inc.",7.77,$72.93M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ch
ETF,Aberdeen Emerging Markets Smaller Company Opportunities Fund I,13.135,$128.26M,1992,n/a,n/a,http://www.nasdaq.com/symbol/etf
FCO,"Aberdeen Global Income Fund, Inc.",9.37,$86.16M,1992,n/a,n/a,http://www.nasdaq.com/symbol/fco
IF,"Aberdeen Indonesia Fund, Inc.",8.2299,$78.06M,1990,n/a,n/a,http://www.nasdaq.com/symbol/if
ISL,"Aberdeen Israel Fund, Inc.",16.74,$68.79M,1992,n/a,n/a,http://www.nasdaq.com/symbol/isl
ACU,Acme United Corporation.,19.01,$62.53M,1988,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acu
AIII,"ACRE Realty Investors, Inc.",1.52,$27.08M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aiii
ATNM,"Actinium Pharmaceuticals, Inc.",3.51,$124.1M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/atnm
AE,"Adams Resources & Energy, Inc.",66.98,$282.49M,n/a,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/ae
ADK,Adcare Health Systems Inc,4.22,$81.11M,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/adk
ADK^A,Adcare Health Systems Inc,28.11,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adk^a
API,"Advanced Photonix, Inc.",0.4,$14.95M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/api
ACY,AeroCentury Corp.,10,$15.43M,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/acy
WGA,"AG&E Holdings, Inc.",0.8601,$10.08M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/wga
AIRI,Air Industries Group,9.97,$70.79M,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/airi
AA^,Alcoa Inc.,87,n/a,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/aa^
AXX,Alderon Iron Ore Corp.,0.24,$31.71M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/axx
AXU,Alexco Resource Corp,0.4799,$33.4M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/axu
ANV,Allied Nevada Gold Corp.,0.92,$115.9M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/anv
AAU,"Almaden Minerals, Ltd.",1.1,$80.46M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aau
APT,"Alpha Pro Tech, Ltd.",2.76,$50.5M,n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/apt
ALTV,Alteva (D/B/A),7.85,$46.91M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/altv
AAMC,Altisource Asset Management Corp,203,$444.54M,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/aamc
DIT,AMCON Distributing Company,79.5,$48.96M,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/dit
APP,American Apparel Inc,0.9005,$157.39M,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/app
ADGE,American DG Energy Inc.,0.48,$25.18M,n/a,Energy,Electric Utilities: Central,http://www.nasdaq.com/symbol/adge
AMZG,American Eagle Energy Corporation.,0.6359,$19.36M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/amzg
ALN,American Lorain Corporation,1.28,$44.69M,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/aln
AMS,American Shared Hospital Services,2.65,$14.21M,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/ams
AMPE,"Ampio Pharmaceuticals, Inc.",5.81,$301.96M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ampe
AXN,"Aoxing Pharmaceutical Company, Inc.",1.95,$132.54M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/axn
AMCO,"Armco Metals Holdings, Inc.",1.309,$7.33M,n/a,Consumer Durables,Steel/Iron Ore,http://www.nasdaq.com/symbol/amco
HRT,Arrhythmia Research Technology Inc.,7.68,$21.18M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/hrt
AKG,Asanko Gold Inc.,1.55,$305.11M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/akg
AINC,Ashford Inc.,145.07,$290.14M,2014,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/ainc
ASB/WS,Associated Banc-Corp,2.39,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/asb/ws
AST,"Asterias Biotherapeutics, Inc.",3.72,$114.96M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/ast
