,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,description,website,market_cap,net_income_before_eo,$_last_5_day,z_score
0,XXII US Equity,"22nd Century Group, Inc",0.8202,$52.77M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/xxii,"22nd Century Group Inc. is a plant biotechnology company. The Company modifies the content of nicotinic alkaloids in tobacco plants through genetic engineering and plant breeding. 22nd Century Group Inc.'s products include a prescription smoking cessation aid, which is a tobacco-based botanical medical product for use as a smoking cessation therapy and cigarettes with less nicotine.",www.xxiicentury.com,0,0,-17,-1
1,FAX US Equity,Aberdeen Asia-Pacific Income Fund Inc,5.48,$1.46B,1986,n/a,n/a,http://www.nasdaq.com/symbol/fax,"Aberdeen Asia-Pacific Income Fund, Inc. is a closed-end, non-diversified investment company incorporated in the USA. The Fund's objective seeks current income. The Fund may also achieve incidental capital appreciation. The Fund will seek to achieve its investment objective through investment in Australian and Asian debt securities.",www.aberdeenfax.com,0,0,0,-1
2,IAF US Equity,Aberdeen Australia Equity Fund Inc,7.25,$166.3M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/iaf,na,www.aberdeen-asset.us,0,0,3,-1
3,CH US Equity,"Aberdeen Chile Fund, Inc.",7.77,$72.93M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ch,"Chile Fund, Inc. is a non-diversified, closed-end management investment company incorporated in the USA. The Fund's objective is to seek total return consisting of capital appreciation and income. The Fund invests in Chilean securities.",www.aberdeen-asset.us,0,0,1,-1
4,ETF US Equity,Aberdeen Emerging Markets Smaller Company Opportunities Fund I,13.135,$128.26M,1992,n/a,n/a,http://www.nasdaq.com/symbol/etf,"Aberdeen Emerging Markets Smaller Company Opportunities Fund Inc is a non-diversified, closed-end management investment company incorporated in the USA. The Fund's objective is long-term capital appreciation. The Fund invests at least 80% of its net assets in equity securities of emerging market smaller company issuers.",www.aberdeen-asset.us,0,0,0,0
5,FCO US Equity,"Aberdeen Global Income Fund, Inc.",9.37,$86.16M,1992,n/a,n/a,http://www.nasdaq.com/symbol/fco,"Aberdeen Global Income Fund, Inc. is a closed-end, non-diversified management investment company incorporated in the USA. The Fund's objective is high current income.  The Fund invests in fixed income securities. As a secondary investment objective, the Fund seeks capital appreciation, but only when consistent with its principal investment objective.",www.aberdeen-asset.us,0,0,0,-1
6,IF US Equity,"Aberdeen Indonesia Fund, Inc.",8.2299,$78.06M,1990,n/a,n/a,http://www.nasdaq.com/symbol/if,"Aberdeen Indonesia Fund, Inc. is a closed-end, non-diversified management investment company incorporated in the USA. The Fund's primary objective seeks long-term capital appreciation, and secondary objective is income. The Fund invests primarily in Indonesian securities.",www.aberdeen-asset.us,0,0,-1,-1
7,ISL US Equity,"Aberdeen Israel Fund, Inc.",16.74,$68.79M,1992,n/a,n/a,http://www.nasdaq.com/symbol/isl,"Aberdeen Israel Fund, Inc. is a non-diversified, closed-end management investment company incorporated in the USA. The objective is long-term capital appreciation. The Fund invests primarily in equity securities of Israeli companies.",www.aberdeenisl.com,0,0,0,0
8,ACU US Equity,Acme United Corporation.,19.01,$62.53M,1988,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acu,"Acme United Corporation supplies cutting, measuring, and safety products for the school, home, office, and industrial markets. The Company produces shears, scissors, rulers, first aid kits, utility knives, manicure products, medical cutting instruments, guillotine paper trimmers, and pencil sharpeners. Acme United extends its products and services throughout global networks.",www.acmeunited.com,0,0,1,1
9,AIII US Equity,"ACRE Realty Investors, Inc.",1.52,$27.08M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aiii,na,na,0,0,-2,2
10,ATNM US Equity,"Actinium Pharmaceuticals, Inc.",3.51,$124.1M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/atnm,Actinium Pharmaceuticals Inc. operates as a biopharmaceutical company. The Company develops alpha particle immunotherapeutics and other radiopharmaceuticals for select applications.,www.actiniumpharmaceuticals.com,0,0,-9,-1
