,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,description,website,market_cap,net_income_before_eo
0,TFSC US Equity,1347 Capital Corp.,9.43,$56.09M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfsc,"1347 Capital Corp. is a blank check company formed for the purpose of entering into a merger, share exchange, asset acquisition, stock purchase, recapitalization, reorganization or other similar business combination with one or more businesses or entities.",www.1347capital.com,0,0
1,TFSCR US Equity,1347 Capital Corp.,0.37,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfscr,"1347 Capital Corp. is a blank check company formed for the purpose of entering into a merger, share exchange, asset acquisition, stock purchase, recapitalization, reorganization or other similar business combination with one or more businesses or entities.",www.1347capital.com,0,0
2,TFSCU US Equity,1347 Capital Corp.,9.97,$41.67M,2014,n/a,n/a,http://www.nasdaq.com/symbol/tfscu,"1347 Capital Corp. is a blank check company formed for the purpose of entering into a merger, share exchange, asset acquisition, stock purchase, recapitalization, reorganization or other similar business combination with one or more businesses or entities.",www.1347capital.com,0,0
3,TFSCW US Equity,1347 Capital Corp.,0.2,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfscw,na,na,0,0
4,PIH US Equity,"1347 Property Insurance Holdings, Inc.",7.66,$48.7M,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih,na,na,0,0
5,FLWS US Equity,"1-800 FLOWERS.COM, Inc.",10.32,$667.78M,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws,na,na,0,0
6,FCTY US Equity,"1st Century Bancshares, Inc",6.774,$68.73M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcty,na,na,0,0
7,FCCY US Equity,1st Constitution Bancorp (NJ),11.18,$79.77M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy,na,na,0,0
8,SRCE US Equity,1st Source Corporation,31.31,$747.13M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce,na,na,0,0
9,VNET US Equity,"21Vianet Group, Inc.",18.33,$1.2B,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet,na,na,0,0
10,TWOU US Equity,"2U, Inc.",17.62,$714.35M,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou,na,na,0,0
11,DGLD US Equity,3X Inverse Gold ETN Velocityshares,72.22,$9.82M,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/dgld,na,na,0,0
12,JOBS US Equity,"51job, Inc.",33.77,$1.99B,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs,na,na,0,0
13,SIXD US Equity,"6D Global Technologies, Inc.",8.52,$660.94M,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/sixd,na,na,0,0
14,EGHT US Equity,8x8 Inc,7.62,$684.79M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght,na,na,0,0
15,AVHI US Equity,"A V Homes, Inc.",15.13,$334.32M,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi,na,na,0,0
16,SHLM US Equity,"A. Schulman, Inc.",40.3,$1.17B,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm,na,na,0,0
17,AAON US Equity,"AAON, Inc.",23.74,$1.29B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon,na,na,0,0
18,ABAX US Equity,"ABAXIS, Inc.",60.17,$1.36B,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax,na,na,0,0
19,ABY US Equity,Abengoa Yield plc,34.73,$2.78B,2014,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aby,na,na,0,0
20,ABGB US Equity,"Abengoa, S.A.",17.53,$2.94B,2013,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/abgb,na,na,0,0
21,ABMD US Equity,"ABIOMED, Inc.",60.35,$2.48B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd,na,na,0,0
22,AXAS US Equity,Abraxas Petroleum Corporation,3.16,$332.99M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas,na,na,0,0
23,ACTG US Equity,Acacia Research Corporation,12.83,$643.05M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg,na,na,0,0
24,ACHC US Equity,"Acadia Healthcare Company, Inc.",63.795,$4.21B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc,na,na,0,0
25,ACAD US Equity,ACADIA Pharmaceuticals Inc.,37.45,$3.74B,1985,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad,na,na,0,0
26,ACST US Equity,"Acasti Pharma, Inc.",0.5592,$59.52M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst,na,na,0,0
27,AXDX US Equity,"Accelerate Diagnostics, Inc.",18.05,$805.21M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx,na,na,0,0
28,XLRN US Equity,Acceleron Pharma Inc.,39.98,$1.29B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn,na,na,0,0
29,ANCX US Equity,Access National Corporation,17.98,$187.93M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx,na,na,0,0
30,ARAY US Equity,Accuray Incorporated,8.04,$631.05M,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray,na,na,0,0
31,ACRX US Equity,"AcelRx Pharmaceuticals, Inc.",8.13,$355.34M,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx,na,na,0,0
32,ACET US Equity,Aceto Corporation,20.95,$609.83M,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet,na,na,0,0
33,AKAO US Equity,"Achaogen, Inc.",11.47,$203.68M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao,na,na,0,0
34,ACHN US Equity,"Achillion Pharmaceuticals, Inc.",12.16,$1.39B,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn,na,na,0,0
35,ACIW US Equity,"ACI Worldwide, Inc.",20.46,$2.35B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw,na,na,0,0
36,ACNB US Equity,ACNB Corporation,20.25,$121.73M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb,na,na,0,0
37,ACOR US Equity,"Acorda Therapeutics, Inc.",37.41,$1.57B,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor,na,na,0,0
38,ACFN US Equity,"Acorn Energy, Inc.",0.6124,$16.21M,n/a,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/acfn,na,na,0,0
39,ACTS US Equity,"Actions Semiconductor Co., Ltd.",1.59,$136.74M,2005,Technology,Semiconductors,http://www.nasdaq.com/symbol/acts,na,na,0,0
40,ACPW US Equity,"Active Power, Inc.",1.83,$42.26M,2000,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/acpw,na,na,0,0
41,ATVI US Equity,"Activision Blizzard, Inc",23.31,$16.76B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi,na,na,0,0
42,ACTA US Equity,Actua Corporation,15.37,$623.74M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acta,na,na,0,0
43,ACUR US Equity,"Acura Pharmaceuticals, Inc.",0.63,$29.51M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acur,na,na,0,0
44,ACXM US Equity,Acxiom Corporation,19.66,$1.52B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm,na,na,0,0
45,ADMS US Equity,"Adamas Pharmaceuticals, Inc.",17.28,$295.93M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adms,na,na,0,0
46,ADMP US Equity,Adamis Pharmaceuticals Corporation,6.51,$84.32M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/admp,na,na,0,0
47,ADUS US Equity,Addus HomeCare Corporation,21.4,$235.18M,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus,na,na,0,0
48,AEY US Equity,"ADDvantage Technologies Group, Inc.",2.4568,$24.67M,n/a,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey,na,na,0,0
49,ADEP US Equity,"Adept Technology, Inc.",6.5,$85.17M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/adep,na,na,0,0
50,ADMA US Equity,ADMA Biologics Inc,10.48,$97.38M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adma,na,na,0,0
51,ADBE US Equity,Adobe Systems Incorporated,78.55,$39.14B,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe,na,na,0,0
52,ADTN US Equity,"ADTRAN, Inc.",23,$1.25B,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn,na,na,0,0
53,AAAP US Equity,Advanced Accelerator Applications S.A.,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aaap,na,na,0,0
54,AEIS US Equity,"Advanced Energy Industries, Inc.",26.53,$1.06B,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis,na,na,0,0
55,AMD US Equity,"Advanced Micro Devices, Inc.",3.06,$2.37B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd,na,na,0,0
56,ADXS US Equity,"Advaxis, Inc.",8.22,$194.36M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxs,na,na,0,0
57,ADXSW US Equity,"Advaxis, Inc.",5.2,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxsw,na,na,0,0
58,ADVS US Equity,"Advent Software, Inc.",44.17,$2.31B,1995,Technology,EDP Services,http://www.nasdaq.com/symbol/advs,na,na,0,0
59,MULT US Equity,Advisorshares Trust-Advisorshares Sunrise Global Multi-Strateg,23.25,$2.33M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mult,na,na,0,0
60,YPRO US Equity,AdvisorShares YieldPro ETF,23.94,$68.23M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ypro,na,na,0,0
61,AEGR US Equity,"Aegerion Pharmaceuticals, Inc.",26.49,$753.27M,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aegr,na,na,0,0
62,AEGN US Equity,Aegion Corp,16.66,$622.78M,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/aegn,na,na,0,0
63,AEHR US Equity,Aehr Test Systems,2.39,$30.67M,1997,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aehr,na,na,0,0
