,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,description,website,market_cap,net_income_before_eo,$_last_5_day,z_score
0,DDD US Equity,3D Systems Corporation,31.07,$3.46B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ddd,"3D Systems Corporation develops, manufactures, and markets solid imaging systems designed to rapidly produce three-dimensional objects from computer-aided design and manufacturing-generated solid or surface data.  The Company utilizes its systems to produce models, engineering prototypes, mold patterns, and other parts using CAD/CAM or other data supplied by its customers.",www.3dsystems.com,0,0,-4,-1
1,MMM US Equity,3M Company,168.12,$106.71B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmm,"3M Co. conducts operations in electronics, telecommunications, industrial, consumer and office, health care, safety, and other markets.  The Company's businesses share technologies, manufacturing operations, brands, marketing channels, and other resources.  3M serves customers in countries located around the world.",www.mmm.com,0,0,1,1
2,WBAI US Equity,500.com Limited,15.66,$548.95M,2013,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/wbai,500.com Ltd is an online sports lottery service provider in China.  The Company act as an aggregator and processor of lottery purchase orders from our registered user accounts and currently derive substantially all of our revenues from service fees paid to us by provincial sports lottery administration centers for the purchase orders of sports lottery products.,www.500.com,0,0,-11,-1
3,WUBA US Equity,58.com Inc.,43.38,$3.81B,2013,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/wuba,"58.Com operates as a local life service platform. The Company transfers products and services between purchasers and sellers. 58.Com offers housing rental, recruitment, second-hand product, travel, catering, entertainment, and group-buying information.",www.58.com,0,0,13,0
4,AHC US Equity,A.H. Belo Corporation,8.8,$192.48M,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/ahc,"A. H. Belo Corporation published daily newspapers. The Company owns and operates metropolital newspapers and related websites in the States of Texas and California. A. H. Belo also offers marketing solutions, niche publications, commercial printing, and direct mail services.",www.ahbelo.com,0,0,-2,0
5,ATEN US Equity,"A10 Networks, Inc.",4.38,$265.93M,2014,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/aten,"A10 Networks Inc. provides computer networking products and security solutions. The Company offers application networking platforms and security products to streamline technology operations, including cloud and service providers and application delivery solutions. A10 serves customers in various industries worldwide.",www.a10networks.com,0,0,3,-1
6,AAC US Equity,"AAC Holdings, Inc.",30.39,$640.66M,2014,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aac,"AAC Holdings, Inc. provides inpatient substance abuse treatment services for individuals with drug and alcohol addiction. The Company's staff deploys research-based treatment programs for detoxification, residential treatment, partial hospitalization, and outpaitent care. AAC Holdings operates substance abuse treatment facilities throughout the United States.",na,0,0,7,0
7,AIR US Equity,AAR Corp.,29.91,$1.19B,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/air,"AAR CORP. supplies aftermarket products and services to the global aviation/ aerospace industry.  The Company purchases, sells, and leases new and used commercial jet aircraft, as well as purchases, sells, and leases a variety of new, overhauled, and repaired engines and engine products for the aviation aftermarket.  AAR overhauls, repairs, and exchanges a variety of engine parts.",www.aarcorp.com,0,0,1,1
8,AAN US Equity,"Aaron&#39;s,  Inc.",30.73,$2.23B,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aan,"Aaron's, Inc. rents and sells office and residential furniture and accessories, consumer electronics, and household appliances.  The Company also manufactures furniture, bedding, and accessories.  Aaron's has Company-owned and franchised centers in the United States.",www.aarons.com,0,0,-2,0
9,ABB US Equity,ABB Ltd,21.57,$49.08B,n/a,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/abb,"ABB Limited provides power and automation technologies. The Company operates under segments that include power products, power systems, automation products, process automation and robotics.",www.abb.com,0,0,2,0
