Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
DDD,3D Systems Corporation,31.07,$3.46B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ddd
MMM,3M Company,168.12,$106.71B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmm
WBAI,500.com Limited,15.66,$548.95M,2013,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/wbai
WUBA,58.com Inc.,43.38,$3.81B,2013,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/wuba
AHC,A.H. Belo Corporation,8.8,$192.48M,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/ahc
ATEN,"A10 Networks, Inc.",4.38,$265.93M,2014,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/aten
AAC,"AAC Holdings, Inc.",30.39,$640.66M,2014,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aac
AIR,AAR Corp.,29.91,$1.19B,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/air
AAN,"Aaron&#39;s,  Inc.",30.73,$2.23B,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aan
ABB,ABB Ltd,21.57,$49.08B,n/a,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/abb
ABT,Abbott Laboratories,47.48,$71.49B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abt
ABBV,AbbVie Inc.,61.3,$97.67B,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abbv
ANF,Abercrombie & Fitch Company,25.79,$1.79B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/anf
GCH,"Aberdeen Greater China Fund, Inc.",10.1732,$93.59M,1992,n/a,n/a,http://www.nasdaq.com/symbol/gch
JEQ,"Aberdeen Japan Equity Fund, Inc. ",7.5777,$107.08M,1992,n/a,n/a,http://www.nasdaq.com/symbol/jeq
SGF,"Aberdeen Singapore Fund, Inc.",11.81,$90.37M,1990,n/a,n/a,http://www.nasdaq.com/symbol/sgf
ABM,ABM Industries Incorporated,30.62,$1.71B,n/a,Finance,Diversified Commercial Services,http://www.nasdaq.com/symbol/abm
AKR,Acadia Realty Trust,35.26,$2.39B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/akr
ACN,Accenture plc.,90.49,$59.3B,2001,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/acn
ACCO,Acco Brands Corporation,7.69,$862.12M,n/a,Consumer Durables,Publishing,http://www.nasdaq.com/symbol/acco
ACW,Accuride Corporation New,5.32,$253.86M,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/acw
ACE,Ace Limited,114.5,$37.98B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ace
ATV,"Acorn International, Inc.",1,$27.58M,2007,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/atv
ACT,"Actavis, Inc.",295.77,$78.4B,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/act
ATU,Actuant Corporation,25.58,$1.58B,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/atu
AYI,Acuity Brands Inc,160.18,$6.95B,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ayi
ADX,Adams Express Company (The),14.12,$1.31B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adx
AGRO,Adecoagro S.A.,8.05,$985.17M,2011,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/agro
ADPT,Adeptus Health Inc.,41.89,$864.03M,2014,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/adpt
ADT,ADT Corporation,39.38,$6.74B,n/a,Consumer Services,Diversified Commercial Services,http://www.nasdaq.com/symbol/adt
AAP,Advance Auto Parts Inc,155.06,$11.32B,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/aap
WMS,"Advanced Drainage Systems, Inc.",26.22,$1.4B,2014,Capital Goods,Containers/Packaging,http://www.nasdaq.com/symbol/wms
ASX,"Advanced Semiconductor Engineering, Inc.",7.28,$11.43B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/asx
AAV,Advantage Oil & Gas Ltd,5.39,$916.66M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/aav
ATE,Advantest Corporation (Kabushiki Kaisha Advantest) ADS,12.78,$2.23B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/ate
AVK,Advent Claymore Convertible Securities and Income Fund,16.97,$400.17M,2003,n/a,n/a,http://www.nasdaq.com/symbol/avk
AGC,Advent Claymore Convertible Securities and Income Fund II,6.54,$210.85M,2007,n/a,n/a,http://www.nasdaq.com/symbol/agc
LCM,Advent/Claymore Enhanced Growth & Income Fund,9.2699,$126.1M,2005,n/a,n/a,http://www.nasdaq.com/symbol/lcm
ACM,AECOM,29.15,$4.53B,2007,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/acm
ANW,Aegean Marine Petroleum Network Inc.,14.35,$692.35M,2006,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/anw
AEB,Aegon NV,24.2,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeb
AED,Aegon NV,25.74,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aed
AEG,Aegon NV,7.74,$19.26B,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeg
AEH,Aegon NV,25.64,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeh
AEK,Aegon NV,28.305,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aek
AER,Aercap Holdings N.V.,44.34,$9.41B,2006,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aer
HIVE,"Aerohive Networks, Inc.",4.69,$215.35M,2014,Technology,EDP Services,http://www.nasdaq.com/symbol/hive
ARO,Aeropostale Inc,3.72,$294.34M,2002,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/aro
AET,Aetna Inc.,97.92,$34.44B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aet
AFM,"Affiliated Managers Group, Inc.",25.739,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/afm
AMG,"Affiliated Managers Group, Inc.",218.31,$12.13B,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/amg
MGR,"Affiliated Managers Group, Inc.",25.99,n/a,2012,Finance,Investment Managers,http://www.nasdaq.com/symbol/mgr
AFL,Aflac Incorporated,62.13,$27.99B,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afl
AFSD,Aflac Incorporated,25.29,n/a,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afsd
MITT,"AG Mortgage Investment Trust, Inc.",18.64,$529.12M,2011,n/a,n/a,http://www.nasdaq.com/symbol/mitt
MITT^A,"AG Mortgage Investment Trust, Inc.",25.5299,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mitt^a
MITT^B,"AG Mortgage Investment Trust, Inc.",25,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mitt^b
AGCO,AGCO Corporation,50.46,$4.64B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/agco
A,"Agilent Technologies, Inc.",41.95,$14.09B,1999,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/a
GAS,"AGL Resources, Inc.",50.09,$5.99B,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/gas
AEM,Agnico Eagle Mines Limited,30.37,$6.53B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aem
ADC,Agree Realty Corporation,32.67,$573.03M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/adc
GRO,Agria Corporation,1.05,$58.15M,2007,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/gro
AGU,Agrium Inc.,108.46,$15.59B,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/agu
AL,Air Lease Corporation,39.29,$4.02B,2011,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/al
APD,"Air Products and Chemicals, Inc.",157.66,$33.78B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/apd
AYR,Aircastle Limited,23.31,$1.89B,2006,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/ayr
ARG,"Airgas, Inc.",117.47,$8.82B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/arg
AKS,AK Steel Holding Corporation,4.47,$791.52M,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/aks
ALP^N,Alabama Power Company,25.65,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/alp^n
ALP^O,Alabama Power Company,26.95,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/alp^o
ALP^P,Alabama Power Company,25.53,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alp^p
ALG,"Alamo Group, Inc.",49.19,$556.37M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/alg
AGI,Alamos Gold Inc,5.75,$732.31M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/agi
ALK,"Alaska Air Group, Inc.",64.14,$8.42B,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/alk
AIN,Albany International Corporation,37.74,$1.2B,n/a,Basic Industries,Textiles,http://www.nasdaq.com/symbol/ain
ALB,Albemarle Corporation,55.47,$4.34B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/alb
ALU,Alcatel Lucent,3.89,$10.96B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alu
AA,Alcoa Inc.,15.79,$18.61B,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/aa
AA^B,Alcoa Inc.,50.68,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aa^b
ALR,Alere Inc.,44.58,$3.72B,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/alr
ALR^B,Alere Inc.,322.7501,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alr^b
ALEX,"Alexander & Baldwin Holdings, Inc.",40.32,$1.97B,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/alex
ALX,"Alexander&#39;s, Inc.",433.98,$2.22B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/alx
ARE,"Alexandria Real Estate Equities, Inc.",96.09,$6.92B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/are
ARE^E,"Alexandria Real Estate Equities, Inc.",26.526,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/are^e
BABA,Alibaba Group Holding Limited,86.64,$215.5B,2014,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/baba
Y,Alleghany Corporation,480.86,$7.74B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/y
ATI,Allegheny Technologies Incorporated,33.83,$3.68B,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/ati
ALLE,Allegion plc,58.6,$5.61B,2013,Consumer Services,Diversified Commercial Services,http://www.nasdaq.com/symbol/alle
AGN,"Allergan, Inc.",234,$69.71B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agn
ALE,"Allete, Inc.",55.24,$2.54B,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/ale
AKP,Alliance California Municipal Income Fund Inc,13.63,$116.58M,2002,n/a,n/a,http://www.nasdaq.com/symbol/akp
ADS,Alliance Data Systems Corporation,282.4,$16.78B,2001,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ads
AFB,Alliance National Municipal Income Fund Inc,13.76,$395.42M,2002,n/a,n/a,http://www.nasdaq.com/symbol/afb
AYN,Alliance New York Municipal Income Fund Inc,13.85,$66.98M,2002,n/a,n/a,http://www.nasdaq.com/symbol/ayn
AOI,"Alliance One International, Inc.",1.04,$100.23M,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/aoi
AWF,Alliance World Dollar Government Fund II,12.61,$1.09B,1993,n/a,n/a,http://www.nasdaq.com/symbol/awf
ACG,ALLIANCEBERNSTEIN INCOME FUND INC,7.46,$1.81B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acg
AB,Allianceberstein Holding L.P.,27.17,$2.73B,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/ab
LNT,Alliant Energy Corporation,64.61,$7.17B,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/lnt
NCV,AllianzGI Convertible & Income Fund,8.91,$683.89M,2003,n/a,n/a,http://www.nasdaq.com/symbol/ncv
NCZ,AllianzGI Convertible & Income Fund II,8.45,$622.19M,2003,n/a,n/a,http://www.nasdaq.com/symbol/ncz
NIE,AllianzGI Equity & Convertible Income Fund,20.47,$567.2M,2007,n/a,n/a,http://www.nasdaq.com/symbol/nie
NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",16.6,$1.57B,2005,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/nfj
AWH,"Allied World Assurance Company Holdings, AG",40.54,$3.89B,2006,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/awh
ALSN,"Allison Transmission Holdings, Inc.",32.14,$5.71B,2012,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/alsn
ALL,Allstate Corporation (The),71.6,$30.03B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/all
ALL^A,Allstate Corporation (The),25.35,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^a
